WASHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2011                                                                                                                                                                                                                                                                                                                                                                                                            ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI,,Taxable interest,,Ordinary dividends,,Qualified dividends [2],,"Business or profession
net income (less loss)",,"Number of 
farm returns",Net capital gain (less loss) in AGI,,"Taxable individual retirement
arrangement distributions",,Pensions and annuities in AGI,,Unemployment compensation [3],,Social Security benefits in AGI,,Self-employment retirement plans,,Total itemized deductions,,State and local income taxes,,State and local general sales taxes,,Real estate taxes,,Taxes paid,,Mortgage interest paid,,Contributions,,Taxable income,,Total tax credits,,Residential energy credit,,Child tax credit,,Child and dependent care credit,,Additional child tax credit,,Earned income credit [4],,"Excess earned income 
credit (refundable) [5]",,Alternative minimum tax,,Income tax [6],,Total tax liability [7],,Tax due at time of filing [8],,Overpayments refunded [9],
,,,,,,,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69)
00000,Total,"3,160,897","1,291,869","1,389,434","6,367,289","2,071,183","202,636,437","2,633,717","144,992,963","1,300,541","2,388,129","691,807","4,368,666","626,351","3,052,892","415,684","6,454,376","23,389","564,195","6,619,232","306,035","5,424,569","583,691","13,238,557","351,124","2,711,417","404,943","5,074,592","20,948","366,993","1,107,269","26,120,997","72,039","497,594","927,524","1,909,987","1,020,393","4,106,564","1,094,664","6,757,179","925,315","11,022,687","872,550","3,514,305","2,538,265","140,748,032","1,026,619","1,304,048","69,203","20,933","527,877","661,586","116,404","59,870","366,302","515,464","453,669","916,410","393,108","816,112","63,567","296,602","2,281,862","25,098,361","2,404,772","26,209,755","556,173","2,406,671","2,439,090","6,565,667"
00000,"$1 under $25,000",1097382,151913,436532,1596555,499922,13767105,846355,10200583,249793,226624,117500,275673,103095,155456,122372,823782,4335,95018,-16096,62972,375286,136571,1307255,122446,811937,44787,75637,747,1425,93175,1577473,3094,2783,74336,66909,72962,220682,88916,315139,57229,489210,56834,95710,515471,3203564,144385,51527,2230,300,42681,14317,7509,2341,209079,261903,318686,681597,282937,619599,385,153,414935,287283,503158,422930,96068,68302,913021,1646901
00000,"$25,000 under $50,000",769299,237716,327438,1538118,534609,27977775,649816,21857907,247014,264045,107613,350525,95481,216693,83784,869579,4465,86215,67025,63524,610078,132212,2364863,102345,877195,120963,773479,1445,6819,187074,3098300,9468,17848,151413,180470,162596,473366,182902,699320,144594,1258497,127190,262430,732965,14741010,294835,253102,11903,2873,173601,162735,25262,13235,133289,220227,134983,234813,110171,196513,1134,1217,605693,1581142,632781,1744477,104700,152115,647095,1626082
00000,"$50,000 under $75,000",465869,243835,211451,1032709,323313,28712917,398811,22020711,226749,266169,107220,374415,95964,231166,64311,734802,4266,83818,106484,56758,763479,108714,2634596,58350,467305,93113,1320045,1850,12220,220911,4061493,13782,39349,182759,275527,203261,632957,218821,979944,187289,1843551,166012,395907,462847,18586116,195728,275509,15398,4028,128426,203661,20376,10237,20929,29922,0,0,0,0,667,351,439657,2387898,445686,2535164,97186,204293,355039,1004030
00000,"$75,000 under $100,000",310024,222150,143484,770216,238089,26847623,271525,20698607,184858,227277,96257,338841,86427,205351,48518,651541,3542,73774,150851,44723,812523,80922,2323861,33378,267239,63002,1171893,2189,18633,192557,4013818,13274,52057,161821,302539,182250,635802,191475,1020416,170072,1906776,155498,442840,309240,18778026,145020,229224,13618,3941,95447,162306,19301,10335,2521,3138,0,0,0,0,1091,865,305513,2597380,306560,2726821,70523,191134,228920,764327
