adjusted_gross_income_size_and_zipcode,returns,number_of_exemptions_total,number_of_exemptions_dependent_exemptions,adjusted_gross_income,salaries_and_wages_number_of_returns,salaries_and_wages_amount,taxable_interest_number_of_returns,taxable_interest_amount,taxable_dividends_number_of_returns,taxable_dividends_amounts,net_capital_gain/loss_number_of_returns,net_capital_gain/loss_amount,schedule_c_net_profit/loss_number_of_returns,schedule_c_net_profit/loss_amount,schedule_f_net_profit/loss_number_of_returns,schedule_f_net_profit/loss_amount,ira_payment_deduction_number_of_returns,ira_payment_deduction_amount,self_employed_pension_deduction_number_of_returns,self_employed_pension_deduction_amount,total_itemized_deduction_number_of_returns,total_itemized_deduction_adjusted_gross_income,total_itemized_deduction_amount,contributions_deductions_number_of_returns,contributions_deductions_number_of_returns,contributions_deductions_amount,taxes_paid_deductions_number_of_returns,taxes_paid_deductions_adjusted_gross_income,taxes_paid_deductions_amount,alternate_minimum_tax_number_of_returns,alternate_minimum_tax_amount,income_tax_before_credits_number_of_returns,income_tax_before_credits_amount,total_tax_number_of_returns,total_tax_amount,earned_income_credit_number_of_returns,earned_income_credit_amount,paid_preparer_number_of_returns
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,2860825,5865799,1794371,166580039,2412365,114046697,1368475,3528026,748124,3862773,651545,14886748,403776,5996877,23232,-157511,73677,264541,27138,415068,1067582,109369624,22529755,899373,98569012,3435488,1063234,107890387,5925136,47972,187582,2337779,22076820,2234434,22075876,346390,585289,1422842
"Under $10,000        ",463557,618257,110475,781164,354503,2025446,129607,141509,72944,97424,66985,83795,56082,-1996,3225,-53108,1014,2624,159,541,19600,115092,290389,11676,73232,12694,28077,-754009,96866,45,180,104547,17741,142225,57463,125052,132291,200642
"$10,000 under $25,000",624608,1058423,311739,10797481,501894,8307868,186488,268541,86702,167472,71567,79939,67402,506464,3288,-14483,8199,21032,550,2264,78966,1433695,1156441,55393,1008620,95587,75924,1372719,216209,201,138,483015,405017,434899,450227,153744,383611,314298
"$25,000 under $50,000",723918,1450297,469244,26333926,627719,21370884,295107,410562,135664,295839,112877,235427,89002,826359,5201,-25671,22310,69350,2914,16730,230077,8843020,3449336,176502,6813482,323298,225246,8662682,767376,70,44,704321,1924779,625144,1834415,67594,69387,355615
"$50,000 under $75,000",436578,1052568,341655,26896739,385156,21389616,262865,396878,131794,329731,109529,383926,70308,788922,4826,-24955,16888,58769,3759,28165,253654,15805360,4381197,212422,13266666,471206,250870,15632258,1075055,1040,1158,434610,2560615,422491,2434427,0,0,219477
"$75,000 under 100,000",266066,715259,235126,22980060,239200,18266590,193193,322911,108052,290331,90743,503249,46688,675417,2785,-14436,10216,38930,3161,29749,193558,16789992,3835397,171495,14896076,461315,192312,16683361,1010033,1314,1690,265541,2475981,264178,2401416,0,0,130172
"$100,000 or more     ",346098,970995,326132,78790669,303893,42686293,301215,1987625,212968,2681976,199844,13600412,74294,3201711,3907,-24858,15050,73836,16595,337619,291727,66382465,9416995,271885,62510936,2071388,290805,66293376,2759597,45302,184372,345745,14692687,345497,14897928,0,0,202638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98001,13196,28988,9738,710656,11635,567427,6102,7821,2860,5180,2321,22097,2001,23309,22,-25,301,1073,84,1010,6027,485752,116115,5110,433319,13995,5981,480479,29916,129,352,10992,81728,10648,80567,1419,2486,6566
"Under $10,000        ",1943,2520,421,5899,1567,8522,452,341,194,139,201,299,257,270,12,7,*,*,0,0,82,484,1136,43,259,43,99,-1039,280,0,0,477,88,649,246,445,496,805
"$10,000 under $25,000",2462,4312,1356,42662,1983,33125,641,609,250,387,177,51,377,3537,0,0,31,79,*,*,375,7061,5727,246,4743,470,365,6882,1144,*,*,1863,1598,1783,1978,632,1629,1273
"$25,000 under $50,000",3301,6979,2540,121363,2939,101547,1235,1183,500,720,398,781,466,4898,*,*,86,247,14,52,1335,51982,21070,1045,41000,1701,1309,51001,4925,0,0,3175,8439,2831,7973,342,361,1724
"$50,000 under $75,000",2403,6253,2281,148729,2218,127193,1410,1018,583,640,435,699,398,4067,0,0,72,234,16,69,1669,104477,29502,1425,89576,3011,1654,103539,7279,18,24,2393,13441,2305,12494,0,0,1226
"$75,000 under $100,000",1497,4293,1532,129520,1432,111865,1034,987,523,810,395,1770,234,2808,10,-32,47,174,14,130,1181,102414,23543,1062,92107,2594,1174,101845,6370,*,*,1495,13510,1492,12754,0,0,696
"$100,000 or more     ",1590,4631,1608,262483,1496,185175,1330,3683,810,2484,715,18497,269,7729,*,*,65,339,40,759,1385,219334,35137,1289,205634,6176,1380,218251,9918,111,328,1589,44652,1588,45122,0,0,842
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98002,12731,25090,8292,473145,11021,371120,4065,7022,1820,3887,1363,13262,1215,10339,*,*,163,566,26,332,3252,212393,52576,2654,182805,6228,3203,209501,12270,44,101,10159,45131,9415,43543,2234,3910,6893
